song,artist,url,lyrics
"Julia (or, ‘Holy to the LORD’ on the Bells of Horses)",mewithoutYou,https://genius.com/Mewithoutyou-julia-or-holy-to-the-lord-on-the-bells-of-horses-lyrics,"Today a thousand yearsOf strained affection and prayer""Out beyond ideas of right & wrong is a field""Will I meet you there?Will I meet you there?The summer garden bloomsWith autumn soon replacedAnother harvest moon—So many ways to loseSo many faiths""Holy to the LORD"" on the bells of horsesSafely on the shore we sank like stonesTo the bottom of a made up oceanStanding on the lake shore, JuliaSilent as a seashell, JuliaMagnet of the elk park, JuliaLaid down on the temple floor""Send a couple rats,"" said JuliaI'd have done the same thing to youCoffee and a milk, now JuliaWho do you think needs who more?In case your plan falls throughTo mispronounce my name(Static between me and that Salafi, Yusef)To curse You-Don't-Know-WhoAnd bow before the same(So was the scene at al-Aqsa.)I'll meet you there(I have to admit I loved the cut of his pant legs!)I'll meet you there(Another lovely afternoon for Sūrat al-Kāfirūn)"
"Bethlehem, WV",mewithoutYou,https://genius.com/Mewithoutyou-bethlehem-wv-lyrics,"To which shepherd’s fieldDid which angels descend?And what’s this about eternal non-existence at the end?A stranger’s face appeared—They say he lost his mind(Or too much found his mind?)I hear it all the timeVibrations rose in wavesFrom a sea of discontentDad used to talk about for daysI finally tasted what he meantYour carcass on the groundBrought vultures to their eyesMy frontal lobe is shutting downI bet you hear it all the timeTo which shepherd’s field did which angels descend?Or is blessedness revealed to those of us who best pretend?Some counterfeit ideas form ideas all their ownI watched them spread for years to my unsuspecting bonesAnd the nights my heart was tired you sang your saccharine songBut when your mouth was quiet was the sweetest sound of all""Soon our ransomed souls will leave this age behindFor streets of solid gold"",  I hear it all the timeOn a West Virginia roadOn a West Virginia roadOn a West Virginia roadI did just as I was told"
August 6th,mewithoutYou,https://genius.com/Mewithoutyou-august-6th-lyrics,"Aug. 6th, carved in desks with old knives:“Back when our common cause was aliveAnd--let’s say--the hyacinth fields were in bloomChildren watched as the soldiers marched byAll the birds fell like frogs from the skyProstrate in the streets every crescent moonLonesome offspring of which still resoundWith the victimless sins of their authors passed downAnd the remnants of loathsome, disjointed worldsAlong the short path round the lily pad pondWith off-white deerskin wedding dress onGerman songs, homemade bonnets like old-orderAmish girls jilted by squirrelsIn the parks of Sioux FallsHaunted by church bellsLike ghosts of applauseAnd the earth deep down tire-stacked walls likeNew Mexico, peaceful as moth-bitten pincushion dolls making up myths about wounds without cause...”And sometimes when it’s quiet my heart feels like Guernica on screens in blue duskPerfumed neighborhoods/graveyards the breath feels likeFlies in my lungs, voice like ambulanceSirens whose light floods the ground(“praying mantis spreads arms”Said the lines of whose palm?)Skyline shifting like cloudsBecame “airplane descends”Human foreheads all smashedForeign cars upside downInsect mouths open wideI stared down a huge insectBright red-glowing eyesLegs on both highway sidesS a i d   i n s e c t   w a s   m  e  c  h  a  n  i  z  e  d  !   !   !    !     !     !(Said insect was mechanized!)"
Lilac Queen,mewithoutYou,https://genius.com/Mewithoutyou-lilac-queen-lyrics,"Comet streams and the rocket scenesAnd cyclone-turning seasThy foes profanely rage{SH 49B}Hands washed, Pontius-Pilate-cleanIn proud Euphrates' stream {SH 504}Where no one knows my nameI'll be long, long gone""On the slopes at CourchevelThe news from the Gulf War is relayedBy loudspeakers during the intensive bombardments:(-J. Baudrillard)All moon-rides, lifts are fullGo search the world beneath. {SH 300}Cladding breach at 3-mile beachAll spent fuel pools are full""It's all the same to me--I'll be long, long gone""I'll be long, long goneIn such fell repose, you supposeThat mouth will finally closeWhen you're long long gone?I was born of a thought of mineI was the ISIS flag designYou were a Lilac QueenPaddling through your empire's streamsI was born of a thought of mineBorn of the stillborn heart of mineYou were the Werewolf KingPeddling round your sapphire ringSoon is the swing of the HammerhandSame is the low-flying day of the Vultureman Circling the earth I goSlobbering out of my oatmeal wisdom:Nearer the boots to the stolid floorOr restless thought to the waves of a foreign shore?Racing the sun, I roseHastening lest thy gates be closed;But I find that there is time"
Rainbow Signs,mewithoutYou,https://genius.com/Mewithoutyou-rainbow-signs-lyrics,"Pale horse songs of a slow declineSideshow words if the songs don't mindG-d gave Noah the rainbow signNo more water, is the H-Bomb next time?Pale horse vows in a grave (I-do-yes-definitely) replySmile for the camera at a 'church' nearbyThrew a mute curse at the Boise skyFor my fucked up Napoleon-of-St.-Helena-hairlineBlack horse leaping when the frogs withdrewThe parable of the plums where the olives grewClouded rearrangement of sounds we knew:An Idaho sunset for my own private WaterlooPale horse songs of a slow declineSide show words if our moms don't mind:Cloud gave no one a rainbow sign--Six-point starred ink flag next time?שְׁמַע יִשְׂרָאֵל ה' אֱלֹהֵינוּ ה' אֶחָד     قل هو الله احد الله الصمدWith imperial crowns we were 'sent,'Riding out conquest-bentDaylight is breakingWielding the sanctified swordFor the army of the Scarecrow LordDaylight is breakingBalancing scales at our feetMeasuring out two pounds of barley, six pounds of buckwheatBeasts of the Battersea ShieldAt the opening of the fourth sealThe sky, I'd been toldWould roll up like a scrollAs the mountains and islands moved from their placeAnd the sun would turn blackAs a dead raven's backBut there'd be nowhere hideFrom the Judge's faceAfter which message-less birds take flight without causeTo the silence they've heard in the absence of lawsOr imperial crowns: Unsent, unsigned--The other night I dreamt I was finally out of collegeIn my own pair of sandals, I had turned into my fatherWhistling our tune about the Rio GrandeLike an anchorite in June I took hold of my own handAnd started on the Abrahamic joke we knewAbout apostrophes and pronouns and you-remember-who""But let's keep that silly punchline between me and youLittle HaroonAnd the man in the moon."""
Grist for the Malady Mill,mewithoutYou,https://genius.com/Mewithoutyou-grist-for-the-malady-mill-lyrics,"Rabbit fled, best guess, toward homeFox & Bear toward YellowstoneWalrus, north to the border townsPeacock swayed like a reed on the fence a while(with a stalwart sense of style!)As the policemen’s nets came downWord of the crash had spread fast and spread farFrom Clark’s Fork to Blackfoot ReservoirMore grist for the malady millShepherd the Southwest wind“railspikes ripped like the seam of a wineskin”Shepherd the Northwest rain“Brass Hat slept at the helm of that woeful train…Ain’t it an awful shame!And don’t it just break your heart to hear of so muchTo hear of so much pain?""Casey Jones walked slow to the prison cellHis face held hard as a scallop shellCONDUCTOR: “Well, I wish I wished you wellBut your last friend on Earth now callsFrom the silent side of the cemetery wallsYour great cause to the moths and the rust!”ELEPHANT: “It’s the laws of cause and effect that you criticizeBut sir, criticize them you must”Shepherd the Southwest wind“railspikes ripped like the seam of a wineskin”Shepherd the Northwest rain“frog switch slipped and that reckless beast is to blameAin’t it an awful shame!And don’t it just break your heart to hear of so much pain?Ain’t it an awful shame!Don't it just break your heartDon't it just break your heartDon't it break your heart?"""
Elephant in the Dock,mewithoutYou,https://genius.com/Mewithoutyou-elephant-in-the-dock-lyrics,"Pillory stocks at the gallows tree dockThe crowd grew impatient as the clouds threatened rainElephant arrived at the Constable's sideWith her trunk locked in shackles, and her ankles in chains""All rise, all rise, his Honor presides""The Judge took the bench to the village brass cavalcadeElephant refused to swear the oathSaid ""I don't know anything about truthBut I know falsehood when I see itAnd it looks like this whole world you've made""Good of our chaplain to sail Kalispell BayAnd now down on his marrow for this old fool to pray""Lord, for sixty-some years I'd surrendered my loveTo emblems of kindnessAnd not the kindness they were emblems ofTrammels and rings, with the strength of old stringsAnd some hobble skirt spring, by the old problem caughtChildren, sometimes I think all our thoughts are just thingsAnd then sometimes think things are just thoughts""And the rabble rang""Hang the Elephant must hang the Elephant must hang!Hang the Elephant must hang the Elephant must hang!""""A thirteen coil knot for the samovar pot!Scottish Oatcakes in haversacks each to its graveThis mock trial can no more determine my lotThan can driftwood determine the ocean's wavesBrandish your ropes and your boards, and your basket-hilt swordsBut what is there can punish like a conscience ignored?Yes, my body did just as you impliedWhile some ghost we'll call 'I' idly watched through its eyes""And the jury sang"
Aubergine,mewithoutYou,https://genius.com/Mewithoutyou-aubergine-lyrics,"Sugar down the syrup in the Queen Anne's laceShining in the light of nightshadeCultivating unsophistication in my faceTrying to think of nothing to sayGrapes gone sour and the spinach went to seed(It was spindly and sick from the outset)Waiting for the hour with a wherewithal to leavePatient as a dog for its masterAubergine, Aubergine Aubergine, AubergineThe Labrador was locked to the promontory rockShe called down, said time is an illusionAn inconsequential shift as the continents driftBut my confidence was crushed and I miss you regardlessAubergine, AubergineAubergine, AubergineAubergine, AubergineAubergine, AubergineYou can be your body but please don't mindIf I don't fancy myself mineYou at 32 still tiedTo your poor mother's apron strings!Sorrel in the gravel and the saffron robeSleeping like a shark in the cord grassUntil I saw how far I traveled down the solipsistic roadI climbed out to ask for directionsThere was not a pond in sight and here I'm gasping like a fishIn the desert with a basket full of eggplantsWho asked about the passage from the Bible on my wristsBut I couldn't catch my breath enough to answer"
"Goodbye, I!",mewithoutYou,https://genius.com/Mewithoutyou-timothy-hay-lyrics,"On a cold December, just before dawnAs the sun said ""Hello"" to the skyThe mantis prayed while the lamellicornTumbled and rolled in a threadbare tieThe Holland Lops in the Karakung gladesIndignantly thumped their feetAnd hopped away when they cut their nosesOn the sharp-tipped blades(since the grass doesn't mind in the least)There's a heat pad waitin' in the chicken-wire hutchWhere the does from the Netherlands stayBut that dry alfalfa don't taste like muchAnd we're tired of the Timothy hay(hey)I touched her back, she was lying face downThe dew turned to frost in her eyesMe and Sister Margaret on the Pentagon lawnWith our wrists in a plastic tieWhile the rats by the tracks on these winter daysSeeking shelter from the coldMake a nest in the traps of our various waysThat they can save their immortal soulsNo, Timothy hayOh no, Timothy hayOh no, Timothy hayOh no, Timothy hayOh no, Timothy hayOh no, Timothy hayPlease no more Timothy hayNo more Timothy hayOh no, no more Timothy hayNo, no more Timothy hayOh no, no more Timothy hayNo more Timothy hayOn a cold December, just after duskAs the sun bid its cordial goodbyesWe get split to pieces like an apple seed huskTo reveal the tree that's been hidden insideWe're a sapling caught in a tattered sirahAs the seams from the shepherd's purse-beltBroke the news to Mom: we found a better MomWe call ""God"" (which she took quite well)"
Wolf Am I! (And Shadow),mewithoutYou,https://genius.com/Mewithoutyou-wolf-am-i-and-shadow-lyrics,"It's the smell of hot summertime trashIt's the city noise of a busy streetIt's a train derailed and a two car head-on freeway crashEach time we meet""And if it comes as some sort of a surprise"", she said""That I seem so composedI've kept this moment closer to my eyes"", she said""Than the glasses resting on the edge of my nose""Shadow am I!Shadow am I!A question of a person, no said replyWolf am I!Wolf and Shadow cast on the sheep as I pass byShadow am I!Shadow am I!Or like aWearing-black-socks-and-white-woolen-locksWolf am I, and shadowShe was graceful and green as a stemBut I walk heavy on delicate groundOh there, I go showing off againSelf-impressed by how well I can put myself down!And there I go again, to the next further removed levelOf that same exact feigned humility!This for me goes on and on to the point of nauseaShadow am I!Like suspicion that's never confirmedBut it's never deniedWolf am INo, ""shadow”, I think is betterAs I’m not so much somethingMore like the absence of somethingSo shadow am I!The whole material world seems to meLike a newspaper headline-It explicitly demands your attentionAnd it may even contain some truthOf what's really going on hereOne day the water's gonna wash it awayOne day the water's gonna wash it awayOne day the water's gonna wash it awayAnd on that dayOne day the water's gonna wash it awayOne day the water's gonna wash it awayNothin' clever to sayOne day, nothin' else to say"
