song,artist
"9:27a.m., 7/29",mewithoutYou
"Julia (or, ‘Holy to the LORD’ on the Bells of Horses)",mewithoutYou
"Bethlehem, WV",mewithoutYou
August 6th,mewithoutYou
Lilac Queen,mewithoutYou
Rainbow Signs,mewithoutYou
Grist for the Malady Mill,mewithoutYou
Elephant in the Dock,mewithoutYou
Aubergine,mewithoutYou
"Goodbye, I!",mewithoutYou
Wolf Am I! (And Shadow),mewithoutYou
A Glass Can Only Spill What It Contains,mewithoutYou
In A Sweater Poorly Knit,mewithoutYou
Torches Together,mewithoutYou
January 1979,mewithoutYou
Seven Sisters,mewithoutYou
Paper Hanger,mewithoutYou
"My Exit, Unfair",mewithoutYou
Son Of A Widow,mewithoutYou
Bullet To Binary,mewithoutYou
Gentlemen,mewithoutYou
Another Head for Hydra,mewithoutYou
Tortoises All the Way Down,mewithoutYou
"2,459 Miles",mewithoutYou
Pale Horse,mewithoutYou
Watermelon Ascot,mewithoutYou
Red Cow,mewithoutYou
Dorothy,mewithoutYou
Magic Lantern Days,mewithoutYou
Fox's Dream of the Log Flume,mewithoutYou
Nine Stories,mewithoutYou
All Circles,mewithoutYou
"The Fox, The Crow And The Cookie",mewithoutYou
Timothy Hay,mewithoutYou
In A Market Dimly Lit,mewithoutYou
"O, Porcupine",mewithoutYou
Tie Me Up! Untie Me!,mewithoutYou
Leaf,mewithoutYou
Four Word Letter (Pt. 2),mewithoutYou
Nice And Blue,mewithoutYou
Silencer,mewithoutYou
"Flee, Thou Matadors!",mewithoutYou
"New Wine, New Skins",mewithoutYou
Chapelcross Towns,mewithoutYou
D-Minor,mewithoutYou
Mexican War Streets,mewithoutYou
East Enders Wives,mewithoutYou
Fiji Mermaid,mewithoutYou
The Angel Of Death Came To David's Room,mewithoutYou
"Allah, Allah, Allah",mewithoutYou
Messes Of Men,mewithoutYou
Yellow Spider,mewithoutYou
Nice And Blue (Pt. 2),mewithoutYou
Disaster Tourism,mewithoutYou
The Soviet,mewithoutYou
Carousels,mewithoutYou
The Cure For Pain,mewithoutYou
Fairfield,mewithoutYou
Blue Hen,mewithoutYou
The Dryness And The Rain,mewithoutYou
The Sun And The Moon,mewithoutYou
Orange Spider,mewithoutYou
C-Minor,mewithoutYou
Brownish Spider,mewithoutYou
Bear's Vision of St. Agnes,mewithoutYou
The King Beetle On A Coconut Estate,mewithoutYou
"February, 1878",mewithoutYou
"A Stick, A Carrot & String",mewithoutYou
Cattail Down,mewithoutYou
Cardiff Giant,mewithoutYou
Kristy w/ the Sparkling Teeth,mewithoutYou
Fig With A Bellyache,mewithoutYou
Cleo's Ferry Cemetery,mewithoutYou
