song,artist,url
"Julia (or, ‘Holy to the LORD’ on the Bells of Horses)",mewithoutYou,https://genius.com/Mewithoutyou-julia-or-holy-to-the-lord-on-the-bells-of-horses-lyrics
"Bethlehem, WV",mewithoutYou,https://genius.com/Mewithoutyou-bethlehem-wv-lyrics
August 6th,mewithoutYou,https://genius.com/Mewithoutyou-august-6th-lyrics
Lilac Queen,mewithoutYou,https://genius.com/Mewithoutyou-lilac-queen-lyrics
Rainbow Signs,mewithoutYou,https://genius.com/Mewithoutyou-rainbow-signs-lyrics
Grist for the Malady Mill,mewithoutYou,https://genius.com/Mewithoutyou-grist-for-the-malady-mill-lyrics
Elephant in the Dock,mewithoutYou,https://genius.com/Mewithoutyou-elephant-in-the-dock-lyrics
Aubergine,mewithoutYou,https://genius.com/Mewithoutyou-aubergine-lyrics
"Goodbye, I!",mewithoutYou,https://genius.com/Mewithoutyou-timothy-hay-lyrics
Wolf Am I! (And Shadow),mewithoutYou,https://genius.com/Mewithoutyou-wolf-am-i-and-shadow-lyrics
A Glass Can Only Spill What It Contains,mewithoutYou,https://genius.com/Mewithoutyou-a-glass-can-only-spill-what-it-contains-lyrics
In A Sweater Poorly Knit,mewithoutYou,https://genius.com/Mewithoutyou-in-a-sweater-poorly-knit-lyrics
Torches Together,mewithoutYou,https://genius.com/Mewithoutyou-torches-together-lyrics
Jan-79,mewithoutYou,https://genius.com/Mewithoutyou-january-1979-lyrics
Seven Sisters,mewithoutYou,https://genius.com/Mewithoutyou-four-fires-lyrics
Paper Hanger,mewithoutYou,https://genius.com/Mewithoutyou-paper-hanger-lyrics
"My Exit, Unfair",mewithoutYou,https://genius.com/Mewithoutyou-my-exit-unfair-lyrics
Son Of A Widow,mewithoutYou,https://genius.com/Mewithoutyou-son-of-a-widow-lyrics
Bullet To Binary,mewithoutYou,https://genius.com/Mewithoutyou-bullet-to-binary-pt-two-lyrics
Gentlemen,mewithoutYou,https://genius.com/Mewithoutyou-gentlemen-lyrics
Another Head for Hydra,mewithoutYou,https://genius.com/Mewithoutyou-another-head-for-hydra-lyrics
Tortoises All the Way Down,mewithoutYou,https://genius.com/Mewithoutyou-tortoises-all-the-way-down-lyrics
